"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","Panel 4A [kW]","Panel 4A* [kVA]","Panel 4A Power Factor []","Panel 4G [kW]","PACU-1 [kW]","PACU-2 [kW]","CT4L1 [kW]","CT5L2 [kW]","CT6L3 [kW]","SOLAR [kW]"
2026-06-18 20:03:00,76.514500000,0.152294444,277.261334280,277.246460946,277.343680951,0.909158932,25.327375647,3.507806833,-7.249452222,8.246865556,0.879247820,1.892756667,48.474380000,33.396815556,-2.516602222,-7.056781111,-0.270917778,-0.152294444
2026-06-18 19:48:00,64.991544444,0.156547778,277.310943172,277.222574278,277.309363171,0.900943376,25.324912314,3.467589054,-7.230763333,8.232045556,0.878565597,1.835944444,38.887343333,31.499020000,-2.546173333,-7.058305556,-0.243540000,-0.156547778
2026-06-18 19:33:00,86.227822222,0.150616667,277.094556495,276.906829819,277.166780942,0.899020043,25.346682315,3.454526831,-7.229623333,8.225254444,0.879148931,1.907621111,50.365151111,41.184673333,-2.499768889,-7.056718889,-0.279183333,-0.150616667
2026-06-18 19:18:00,85.146190000,0.156761111,276.867404262,276.876782040,277.000428712,0.892216709,25.344145648,3.433527941,-7.228250000,8.215317778,0.880050042,1.921564444,50.009428889,40.443446667,-2.479437778,-7.058846667,-0.279902222,-0.156761111
2026-06-18 19:03:00,77.314207778,0.157160000,276.870419817,276.897712041,276.949608710,0.882752264,25.133351194,3.444404608,-7.197601111,8.157742222,0.882480042,1.879615556,48.707958889,33.924234444,-2.504498889,-7.027312222,-0.253671111,-0.157160000
2026-06-18 18:48:00,85.073663333,0.138482222,276.294408679,276.380256461,276.309407568,0.896791154,23.952901138,3.391389050,-6.846581111,7.804952222,0.877432264,1.753952222,48.897591111,41.268701111,-2.483786667,-6.797937778,-0.138256667,-0.138482222
2026-06-18 18:33:00,71.375664444,0.145357778,276.387686461,276.475966465,276.369635349,0.891888931,24.073755588,3.412521273,-6.824854444,7.845438889,0.870180041,1.691376667,38.904483333,37.604658889,-2.528456667,-6.799127778,-0.113670000,-0.145357778
2026-06-18 18:18:00,89.307321111,0.138907778,276.557554247,276.732087589,276.643066473,0.890074487,24.088475589,3.434134608,-6.797245556,7.862215556,0.864811152,1.783410000,51.201225556,43.119931111,-2.459757778,-6.797152222,-0.150894444,-0.138907778
2026-06-18 18:03:00,80.480997778,0.125716667,277.260120947,277.511988737,277.356110951,0.893182265,24.036603364,3.495981277,-6.804266667,7.887728889,0.862922263,1.774361111,51.590612222,33.920291111,-2.481236667,-6.797704444,-0.145772222,-0.125716667
2026-06-18 17:48:00,90.607676667,0.123587778,276.610522027,276.816142037,276.737122033,0.893121154,23.994931140,3.426919052,-6.808313333,7.837582222,0.868915597,1.790084444,51.789440000,43.836465556,-2.457211111,-6.797626667,-0.154608889,-0.123587778
2026-06-18 17:33:00,84.403182222,0.125441111,276.693594253,276.977325378,276.804663148,0.898386709,23.956886693,3.415923496,-6.811146667,7.829632222,0.870161152,1.769140000,50.873495556,38.571693333,-2.479320000,-6.798207778,-0.146030000,-0.125441111
2026-06-18 17:18:00,88.240351111,0.124203333,276.298490901,276.524603134,276.429016463,0.886315598,24.350782268,3.420887940,-6.908185556,7.924106667,0.871944486,1.780426667,49.675717778,43.692392222,-2.463844444,-6.798078889,-0.146004444,-0.124203333
